sampleID	name	taxid	counts	relabundance
ERR3450203	Verrucomicrobiia	203494	2441864	0.31039
ERR3450203	Planctomycetia	203683	32	0.00000
ERR3450203	Bacteroidia	200643	1501190	0.19082
ERR3450203	Flavobacteriia	117743	55	0.00001
ERR3450203	Cytophagia	768503	29	0.00000
ERR3450203	Sphingobacteriia	117747	12	0.00000
ERR3450203	Chitinophagia	1853228	12	0.00000
ERR3450203	Betaproteobacteria	28216	60848	0.00773
ERR3450203	Gammaproteobacteria	1236	8956	0.00114
ERR3450203	Alphaproteobacteria	28211	271	0.00003
ERR3450203	Desulfovibrionia	3031449	2548	0.00032
ERR3450203	Spirochaetia	203692	46	0.00001
ERR3450203	Epsilonproteobacteria	3031852	38	0.00000
ERR3450203	Clostridia	186801	3563289	0.45293
ERR3450203	Negativicutes	909932	56117	0.00713
ERR3450203	Bacilli	91061	49197	0.00625
ERR3450203	Erysipelotrichia	526524	51870	0.00659
ERR3450203	Tissierellia	1737404	113	0.00001
ERR3450203	Coriobacteriia	84998	115352	0.01466
ERR3450203	Actinomycetes	1760	8323	0.00106
ERR3450203	Cyanophyceae	3028117	21	0.00000
ERR3450203	Candidatus Saccharimonadia	2093818	330	0.00004
ERR3450203	Fusobacteriia	203490	320	0.00004
ERR3450203	Methanobacteria	183925	829	0.00011
ERR3450203	Halobacteria	183963	16	0.00000
ERR3450203	Mammalia	40674	60	0.00001
ERR3450203	Caudoviricetes	2731619	5367	0.00068
ERR3450229	Clostridia	186801	8317927	0.82263
ERR3450229	Bacilli	91061	76103	0.00753
ERR3450229	Erysipelotrichia	526524	50227	0.00497
ERR3450229	Negativicutes	909932	5637	0.00056
ERR3450229	Tissierellia	1737404	229	0.00002
ERR3450229	Actinomycetes	1760	218036	0.02156
ERR3450229	Coriobacteriia	84998	124740	0.01234
ERR3450229	Acidimicrobiia	84992	11	0.00000
ERR3450229	Mollicutes	31969	58	0.00001
ERR3450229	Cyanophyceae	3028117	54	0.00001
ERR3450229	Dehalococcoidia	301297	15	0.00000
ERR3450229	Bacteroidia	200643	1026670	0.10154
ERR3450229	Flavobacteriia	117743	192	0.00002
ERR3450229	Cytophagia	768503	75	0.00001
ERR3450229	Sphingobacteriia	117747	32	0.00000
ERR3450229	Chitinophagia	1853228	26	0.00000
ERR3450229	Gammaproteobacteria	1236	48142	0.00476
ERR3450229	Betaproteobacteria	28216	1532	0.00015
ERR3450229	Alphaproteobacteria	28211	894	0.00009
ERR3450229	Verrucomicrobiia	203494	9961	0.00099
ERR3450229	Planctomycetia	203683	43	0.00000
ERR3450229	Desulfovibrionia	3031449	5799	0.00057
ERR3450229	Desulfuromonadia	3031651	15	0.00000
ERR3450229	Spirochaetia	203692	214	0.00002
ERR3450229	Epsilonproteobacteria	3031852	107	0.00001
ERR3450229	Myxococcia	32015	16	0.00000
ERR3450229	Terriglobia	204432	20	0.00000
ERR3450229	Synergistia	649775	423	0.00004
ERR3450229	Deinococci	188787	35	0.00000
ERR3450229	Candidatus Saccharimonadia	2093818	244	0.00002
ERR3450229	Fusobacteriia	203490	107	0.00001
ERR3450229	Methanobacteria	183925	205527	0.02033
ERR3450229	Halobacteria	183963	28	0.00000
ERR3450229	Methanomicrobia	224756	27	0.00000
ERR3450229	Mammalia	40674	162	0.00002
ERR3450229	Caudoviricetes	2731619	18085	0.00179
ERR3450296	Gammaproteobacteria	1236	6557642	0.54579
ERR3450296	Betaproteobacteria	28216	409	0.00003
ERR3450296	Alphaproteobacteria	28211	95	0.00001
ERR3450296	Bacteroidia	200643	295533	0.02460
ERR3450296	Flavobacteriia	117743	12	0.00000
ERR3450296	Desulfovibrionia	3031449	11435	0.00095
ERR3450296	Verrucomicrobiia	203494	656	0.00005
ERR3450296	Spirochaetia	203692	24	0.00000
ERR3450296	Bacilli	91061	2159718	0.17975
ERR3450296	Clostridia	186801	1855517	0.15443
ERR3450296	Negativicutes	909932	417463	0.03475
ERR3450296	Erysipelotrichia	526524	15140	0.00126
ERR3450296	Tissierellia	1737404	114	0.00001
ERR3450296	Actinomycetes	1760	618451	0.05147
ERR3450296	Coriobacteriia	84998	72042	0.00600
ERR3450296	Fusobacteriia	203490	358	0.00003
ERR3450296	Synergistia	649775	188	0.00002
ERR3450296	Candidatus Saccharimonadia	2093818	37	0.00000
ERR3450296	Methanobacteria	183925	333	0.00003
ERR3450296	Caudoviricetes	2731619	9746	0.00081
ERR3450606	Clostridia	186801	4918262	0.55855
ERR3450606	Negativicutes	909932	82695	0.00939
ERR3450606	Erysipelotrichia	526524	16703	0.00190
ERR3450606	Bacilli	91061	13485	0.00153
ERR3450606	Tissierellia	1737404	1003	0.00011
ERR3450606	Coriobacteriia	84998	133881	0.01520
ERR3450606	Actinomycetes	1760	30277	0.00344
ERR3450606	Dehalococcoidia	301297	46	0.00001
ERR3450606	Cyanophyceae	3028117	41	0.00000
ERR3450606	Mollicutes	31969	40	0.00000
ERR3450606	Bacteroidia	200643	3421900	0.38862
ERR3450606	Flavobacteriia	117743	151	0.00002
ERR3450606	Cytophagia	768503	61	0.00001
ERR3450606	Sphingobacteriia	117747	28	0.00000
ERR3450606	Desulfovibrionia	3031449	16840	0.00191
ERR3450606	Desulfuromonadia	3031651	17	0.00000
ERR3450606	Verrucomicrobiia	203494	15713	0.00178
ERR3450606	Planctomycetia	203683	18	0.00000
ERR3450606	Gammaproteobacteria	1236	10235	0.00116
ERR3450606	Betaproteobacteria	28216	4426	0.00050
ERR3450606	Alphaproteobacteria	28211	627	0.00007
ERR3450606	Spirochaetia	203692	228	0.00003
ERR3450606	Epsilonproteobacteria	3031852	164	0.00002
ERR3450606	Myxococcia	32015	10	0.00000
ERR3450606	Terriglobia	204432	11	0.00000
ERR3450606	Fusobacteriia	203490	351	0.00004
ERR3450606	Candidatus Saccharimonadia	2093818	264	0.00003
ERR3450606	Synergistia	649775	31	0.00000
ERR3450606	Deinococci	188787	26	0.00000
ERR3450606	Methanobacteria	183925	125429	0.01424
ERR3450606	Halobacteria	183963	43	0.00000
ERR3450606	Mammalia	40674	80	0.00001
ERR3450606	Caudoviricetes	2731619	12234	0.00139
ERR3451635	Clostridia	186801	5977215	0.62178
ERR3451635	Negativicutes	909932	162291	0.01688
ERR3451635	Erysipelotrichia	526524	176710	0.01838
ERR3451635	Bacilli	91061	43751	0.00455
ERR3451635	Tissierellia	1737404	145	0.00002
ERR3451635	Coriobacteriia	84998	325339	0.03384
ERR3451635	Actinomycetes	1760	34746	0.00361
ERR3451635	Cyanophyceae	3028117	17	0.00000
ERR3451635	Bacteroidia	200643	2762935	0.28741
ERR3451635	Flavobacteriia	117743	110	0.00001
ERR3451635	Cytophagia	768503	59	0.00001
ERR3451635	Sphingobacteriia	117747	25	0.00000
ERR3451635	Gammaproteobacteria	1236	102874	0.01070
ERR3451635	Betaproteobacteria	28216	1123	0.00012
ERR3451635	Alphaproteobacteria	28211	463	0.00005
ERR3451635	Verrucomicrobiia	203494	645	0.00007
ERR3451635	Planctomycetia	203683	26	0.00000
