sampleID	name	taxid	counts	relabundance
ERR3450203	Akkermansia	239934	2441872	0.31044
ERR3450203	Bacteroides	816	513832	0.06532
ERR3450203	Phocaeicola	909656	476373	0.06056
ERR3450203	Alistipes	239759	263260	0.03347
ERR3450203	Parabacteroides	375288	173710	0.02208
ERR3450203	Butyricimonas	574697	20624	0.00262
ERR3450203	Odoribacter	283168	12157	0.00155
ERR3450203	Paraprevotella	577309	17662	0.00225
ERR3450203	Segatella	2974251	3721	0.00047
ERR3450203	Prevotella	838	357	0.00005
ERR3450203	Hoylesella	2974257	70	0.00001
ERR3450203	Barnesiella	397864	18513	0.00235
ERR3450203	Coprobacter	1348911	630	0.00008
ERR3450203	Petrimonas	307628	209	0.00003
ERR3450203	Muribaculum	1918540	31	0.00000
ERR3450203	Duncaniella	2518495	13	0.00000
ERR3450203	Porphyromonas	836	10	0.00000
ERR3450203	Chryseobacterium	59732	20	0.00000
ERR3450203	Sutterella	40544	56447	0.00718
ERR3450203	Turicimonas	1918598	58	0.00001
ERR3450203	Oxalobacter	846	4040	0.00051
ERR3450203	Ralstonia	48736	210	0.00003
ERR3450203	Burkholderia	32008	13	0.00000
ERR3450203	Klebsiella	570	684	0.00009
ERR3450203	Escherichia	561	6778	0.00086
ERR3450203	Citrobacter	544	207	0.00003
ERR3450203	Enterobacter	547	25	0.00000
ERR3450203	Haemophilus	724	658	0.00008
ERR3450203	Ectopseudomonas	3236654	312	0.00004
ERR3450203	Pseudomonas	286	107	0.00001
ERR3450203	Acinetobacter	469	12	0.00000
ERR3450203	Komagataeibacter	1434011	124	0.00002
ERR3450203	Bradyrhizobium	374	22	0.00000
ERR3450203	Bilophila	35832	2463	0.00031
ERR3450203	Desulfovibrio	872	72	0.00001
ERR3450203	Treponema	157	40	0.00001
ERR3450203	Campylobacter	194	30	0.00000
ERR3450203	Blautia	572511	1076648	0.13687
ERR3450203	Roseburia	841	376092	0.04781
ERR3450203	Dorea	189330	191220	0.02431
ERR3450203	Coprococcus	33042	193021	0.02454
ERR3450203	Simiaoa	2944193	148835	0.01892
ERR3450203	Anaerobutyricum	2569097	142244	0.01808
ERR3450203	Agathobacter	1766253	153796	0.01955
ERR3450203	Anaerostipes	207244	99938	0.01271
ERR3450203	Mediterraneibacter	2316020	78338	0.00996
ERR3450203	Lachnospira	28050	32288	0.00410
ERR3450203	Enterocloster	2719313	12680	0.00161
ERR3450203	Wujia	2944152	4677	0.00059
ERR3450203	Sellimonas	1769710	3559	0.00045
ERR3450203	Hungatella	1649459	3445	0.00044
ERR3450203	Wansuia	2944198	2793	0.00036
ERR3450203	Eshraghiella	3342669	1205	0.00015
ERR3450203	Otoolea	2941495	920	0.00012
ERR3450203	Faecalimonas	2005355	1060	0.00013
ERR3450203	Lachnoclostridium	1506553	465	0.00006
ERR3450203	Qiania	2944195	345	0.00004
ERR3450203	Eisenbergiella	1432051	354	0.00005
ERR3450203	Kineothrix	2163168	240	0.00003
ERR3450203	Lacrimispora	2719231	214	0.00003
ERR3450203	Marvinbryantia	248744	172	0.00002
ERR3450203	Chordicoccus	3031933	119	0.00002
ERR3450203	Claveliimonas	3076670	99	0.00001
ERR3450203	Butyrivibrio	830	65	0.00001
ERR3450203	Anaerocolumna	1843210	48	0.00001
ERR3450203	Novisyntrophococcus	2888809	32	0.00000
ERR3450203	Lachnoanaerobaculum	1164882	18	0.00000
ERR3450203	Stomatobaculum	1213720	14	0.00000
ERR3450203	Herbinix	1663717	17	0.00000
ERR3450203	Pseudobutyrivibrio	46205	12	0.00000
ERR3450203	Faecalibacterium	216851	669160	0.08507
ERR3450203	Ruminococcus	1263	174793	0.02222
ERR3450203	Ruthenibacterium	1905344	37593	0.00478
ERR3450203	Vescimonas	2892396	17220	0.00219
ERR3450203	Flavonifractor	946234	13607	0.00173
ERR3450203	Lawsonibacter	2172004	5886	0.00075
ERR3450203	Oscillibacter	459786	15209	0.00193
ERR3450203	Anaerotruncus	244127	3908	0.00050
ERR3450203	Pusillibacter	2892397	3124	0.00040
ERR3450203	Subdoligranulum	292632	2459	0.00031
ERR3450203	Dysosmobacter	2591381	10805	0.00137
ERR3450203	Owariibacterium	3393728	1324	0.00017
ERR3450203	Pseudoflavonifractor	1017280	380	0.00005
ERR3450203	Fastidiosipila	236752	91	0.00001
ERR3450203	Caproicibacterium	2834348	68	0.00001
ERR3450203	Solibaculum	2842531	33	0.00000
ERR3450203	Mageeibacillus	1637257	19	0.00000
ERR3450203	Amygdalobacter	3079925	13	0.00000
ERR3450203	Eubacterium	1730	45211	0.00575
ERR3450203	Intestinimonas	1392389	7822	0.00099
ERR3450203	Flintibacter	1918454	104	0.00001
ERR3450203	Fenollaria	1686313	18	0.00000
ERR3450203	Clostridium	1485	10298	0.00131
ERR3450203	Lactonifactor	420345	88	0.00001
ERR3450203	Butyricicoccus	580596	351	0.00004
ERR3450203	Agathobaculum	2048137	1539	0.00020
ERR3450203	Intestinibacillus	1928820	605	0.00008
ERR3450203	Acutalibacter	1918385	24	0.00000
ERR3450203	Aristaeella	3046369	19	0.00000
ERR3450203	Clostridioides	1870884	13938	0.00177
ERR3450203	Romboutsia	1501226	897	0.00011
ERR3450203	Intestinibacter	1505657	109	0.00001
ERR3450203	Paraclostridium	1849822	15	0.00000
