sampleID	name	taxid	counts	relabundance
ERR3450203	Verrucomicrobiales	48461	2441865	0.31039
ERR3450203	Isosphaerales	2691356	19	0.00000
ERR3450203	Bacteroidales	171549	1501187	0.19082
ERR3450203	Flavobacteriales	200644	55	0.00001
ERR3450203	Cytophagales	768507	29	0.00000
ERR3450203	Sphingobacteriales	200666	12	0.00000
ERR3450203	Chitinophagales	1853229	12	0.00000
ERR3450203	Burkholderiales	80840	60820	0.00773
ERR3450203	Neisseriales	206351	17	0.00000
ERR3450203	Enterobacterales	91347	7748	0.00098
ERR3450203	Pasteurellales	135625	663	0.00008
ERR3450203	Pseudomonadales	72274	436	0.00006
ERR3450203	Oceanospirillales	135619	22	0.00000
ERR3450203	Moraxellales	2887326	15	0.00000
ERR3450203	Alteromonadales	135622	14	0.00000
ERR3450203	Lysobacterales	135614	15	0.00000
ERR3450203	Vibrionales	135623	10	0.00000
ERR3450203	Acetobacterales	3120395	112	0.00001
ERR3450203	Hyphomicrobiales	356	84	0.00001
ERR3450203	Rhodobacterales	204455	28	0.00000
ERR3450203	Sphingomonadales	204457	23	0.00000
ERR3450203	Desulfovibrionales	213115	2548	0.00032
ERR3450203	Spirochaetales	136	41	0.00001
ERR3450203	Campylobacterales	213849	38	0.00000
ERR3450203	Lachnospirales	3085636	2525000	0.32096
ERR3450203	Eubacteriales	186802	1021840	0.12989
ERR3450203	Peptostreptococcales	3082720	15278	0.00194
ERR3450203	Christensenellales	3082768	1137	0.00014
ERR3450203	Monoglobales	3085656	18	0.00000
ERR3450203	Acidaminococcales	1843488	55160	0.00701
ERR3450203	Veillonellales	1843489	927	0.00012
ERR3450203	Selenomonadales	909929	29	0.00000
ERR3450203	Lactobacillales	186826	48597	0.00618
ERR3450203	Bacillales	1385	599	0.00008
ERR3450203	Erysipelotrichales	526525	51870	0.00659
ERR3450203	Tissierellales	1737405	109	0.00001
ERR3450203	Coriobacteriales	84999	75244	0.00956
ERR3450203	Eggerthellales	1643822	40107	0.00510
ERR3450203	Micrococcales	85006	3660	0.00047
ERR3450203	Bifidobacteriales	85004	2169	0.00028
ERR3450203	Actinomycetales	2037	1942	0.00025
ERR3450203	Propionibacteriales	85009	222	0.00003
ERR3450203	Mycobacteriales	85007	206	0.00003
ERR3450203	Kitasatosporales	85011	65	0.00001
ERR3450203	Pseudonocardiales	85010	21	0.00000
ERR3450203	Micromonosporales	85008	19	0.00000
ERR3450203	Streptosporangiales	85012	13	0.00000
ERR3450203	Candidatus Nanosynbacterales	2093819	311	0.00004
ERR3450203	Fusobacteriales	203491	320	0.00004
ERR3450203	Methanobacteriales	2158	829	0.00011
ERR3450203	Halobacteriales	2235	16	0.00000
ERR3450203	Primates	9443	4696	0.00060
ERR3450203	Crassvirales	1978007	732	0.00009
ERR3450229	Eubacteriales	186802	4145222	0.40996
ERR3450229	Lachnospirales	3085636	4139182	0.40936
ERR3450229	Peptostreptococcales	3082720	25004	0.00247
ERR3450229	Christensenellales	3082768	8429	0.00083
ERR3450229	Monoglobales	3085656	50	0.00000
ERR3450229	Thermoanaerobacterales	68295	16	0.00000
ERR3450229	Neomoorellales	3039167	11	0.00000
ERR3450229	Lactobacillales	186826	73660	0.00728
ERR3450229	Bacillales	1385	2443	0.00024
ERR3450229	Erysipelotrichales	526525	50227	0.00497
ERR3450229	Veillonellales	1843489	5337	0.00053
ERR3450229	Acidaminococcales	1843488	205	0.00002
ERR3450229	Selenomonadales	909929	94	0.00001
ERR3450229	Tissierellales	1737405	218	0.00002
ERR3450229	Bifidobacteriales	85004	212412	0.02101
ERR3450229	Micrococcales	85006	2875	0.00028
