sampleID	name	taxid	counts	relabundance
ERR3450203	Verrucomicrobiota	74201	2441864	0.31039
ERR3450203	Planctomycetota	203682	33	0.00000
ERR3450203	Bacteroidota	976	1501301	0.19083
ERR3450203	Pseudomonadota	1224	70078	0.00891
ERR3450203	Thermodesulfobacteriota	200940	2568	0.00033
ERR3450203	Spirochaetota	203691	46	0.00001
ERR3450203	Campylobacterota	29547	38	0.00000
ERR3450203	Bacillota	1239	3720588	0.47293
ERR3450203	Actinomycetota	201174	123683	0.01572
ERR3450203	Cyanobacteriota	1117	21	0.00000
ERR3450203	Chloroflexota	200795	11	0.00000
ERR3450203	Candidatus Saccharimonadota	95818	330	0.00004
ERR3450203	Fusobacteriota	32066	320	0.00004
ERR3450203	Methanobacteriota	28890	855	0.00011
ERR3450203	Chordata	7711	60	0.00001
ERR3450203	Uroviricota	2731618	5367	0.00068
ERR3450229	Bacillota	1239	8450126	0.83570
ERR3450229	Actinomycetota	201174	342795	0.03390
ERR3450229	Mycoplasmatota	544448	58	0.00001
ERR3450229	Cyanobacteriota	1117	54	0.00001
ERR3450229	Chloroflexota	200795	25	0.00000
ERR3450229	Bacteroidota	976	1026999	0.10157
ERR3450229	Pseudomonadota	1224	50572	0.00500
ERR3450229	Verrucomicrobiota	74201	9969	0.00099
ERR3450229	Planctomycetota	203682	44	0.00000
ERR3450229	Thermodesulfobacteriota	200940	5831	0.00058
ERR3450229	Spirochaetota	203691	214	0.00002
ERR3450229	Campylobacterota	29547	69	0.00001
ERR3450229	Myxococcota	2818505	53	0.00001
ERR3450229	Acidobacteriota	57723	29	0.00000
ERR3450229	Synergistota	508458	423	0.00004
ERR3450229	Deinococcota	1297	35	0.00000
ERR3450229	Candidatus Saccharimonadota	95818	241	0.00002
ERR3450229	Fusobacteriota	32066	107	0.00001
ERR3450229	Methanobacteriota	28890	205590	0.02033
ERR3450229	Chordata	7711	162	0.00002
ERR3450229	Uroviricota	2731618	18085	0.00179
ERR3450296	Pseudomonadota	1224	6558148	0.54583
ERR3450296	Bacteroidota	976	295561	0.02460
ERR3450296	Thermodesulfobacteriota	200940	11438	0.00095
ERR3450296	Verrucomicrobiota	74201	656	0.00005
ERR3450296	Spirochaetota	203691	24	0.00000
ERR3450296	Bacillota	1239	4447954	0.37020
ERR3450296	Actinomycetota	201174	690494	0.05747
ERR3450296	Fusobacteriota	32066	358	0.00003
ERR3450296	Synergistota	508458	188	0.00002
ERR3450296	Candidatus Saccharimonadota	95818	37	0.00000
ERR3450296	Methanobacteriota	28890	339	0.00003
ERR3450296	Uroviricota	2731618	9746	0.00081
ERR3450606	Bacillota	1239	5032151	0.57148
ERR3450606	Actinomycetota	201174	164173	0.01864
ERR3450606	Chloroflexota	200795	52	0.00001
ERR3450606	Cyanobacteriota	1117	41	0.00000
ERR3450606	Mycoplasmatota	544448	40	0.00000
ERR3450606	Bacteroidota	976	3422148	0.38864
ERR3450606	Thermodesulfobacteriota	200940	16875	0.00192
ERR3450606	Verrucomicrobiota	74201	15718	0.00179
ERR3450606	Planctomycetota	203682	21	0.00000
ERR3450606	Pseudomonadota	1224	15295	0.00174
ERR3450606	Spirochaetota	203691	228	0.00003
ERR3450606	Campylobacterota	29547	152	0.00002
ERR3450606	Myxococcota	2818505	22	0.00000
ERR3450606	Acidobacteriota	57723	13	0.00000
ERR3450606	Fusobacteriota	32066	351	0.00004
ERR3450606	Candidatus Saccharimonadota	95818	265	0.00003
ERR3450606	Synergistota	508458	31	0.00000
ERR3450606	Deinococcota	1297	26	0.00000
ERR3450606	Methanobacteriota	28890	125484	0.01425
ERR3450606	Chordata	7711	80	0.00001
ERR3450606	Uroviricota	2731618	12234	0.00139
ERR3451635	Bacillota	1239	6360113	0.66160
ERR3451635	Actinomycetota	201174	360097	0.03746
ERR3451635	Cyanobacteriota	1117	17	0.00000
ERR3451635	Mycoplasmatota	544448	15	0.00000
ERR3451635	Bacteroidota	976	2763139	0.28743
ERR3451635	Pseudomonadota	1224	104461	0.01087
