file	percent	reads	taxon_id	taxon_name
ERR3450203.kaiju.out	19.993149	3988375	186803	Lachnospiraceae
ERR3450203.kaiju.out	12.523397	2498256	1647988	Akkermansiaceae
ERR3450203.kaiju.out	10.944914	2183369	541000	Ruminococcaceae
ERR3450203.kaiju.out	10.190239	2032821	31979	Clostridiaceae
ERR3450203.kaiju.out	3.157232	629827	815	Bacteroidaceae
ERR3450203.kaiju.out	1.527006	304618	171550	Rikenellaceae
ERR3450203.kaiju.out	1.463523	291954	186806	Eubacteriaceae
ERR3450203.kaiju.out	1.028859	205244	128827	Erysipelotrichaceae
ERR3450203.kaiju.out	0.978880	195274	171552	Prevotellaceae
ERR3450203.kaiju.out	0.923338	184194	2005525	Tannerellaceae
ERR3450203.kaiju.out	0.690892	137824	84107	Coriobacteriaceae
ERR3450203.kaiju.out	0.647987	129265	909930	Acidaminococcaceae
ERR3450203.kaiju.out	0.393625	78523	1643826	Eggerthellaceae
ERR3450203.kaiju.out	0.318968	63630	995019	Sutterellaceae
ERR3450203.kaiju.out	0.308401	61522	216572	Oscillospiraceae
ERR3450203.kaiju.out	0.299864	59819	1300	Streptococcaceae
ERR3450203.kaiju.out	0.264579	52780	1853231	Odoribacteraceae
ERR3450203.kaiju.out	0.147959	29516	2005519	Barnesiellaceae
ERR3450203.kaiju.out	0.075223	15006	186804	Peptostreptococcaceae
ERR3450203.kaiju.out	0.054164	10805	194924	Desulfovibrionaceae
ERR3450203.kaiju.out	0.048820	9739	186822	Paenibacillaceae
ERR3450203.kaiju.out	0.046635	9303	186817	Bacillaceae
ERR3450203.kaiju.out	0.045421	9061	990719	Christensenellaceae
ERR3450203.kaiju.out	0.038544	7689	2049	Actinomycetaceae
ERR3450203.kaiju.out	0.034473	6877	543	Enterobacteriaceae
ERR3450203.kaiju.out	0.033822	6747	1843491	Selenomonadaceae
ERR3450203.kaiju.out	0.032528	6489	1643824	Atopobiaceae
ERR3450203.kaiju.out	0.031275	6239	31977	Veillonellaceae
ERR3450203.kaiju.out	0.030649	6114	2810280	Coprobacillaceae
ERR3450203.kaiju.out	0.028929	5771	1268	Micrococcaceae
ERR3450203.kaiju.out	0.028919	5769	543314	Clostridiales Family XIII. Incertae Sedis
ERR3450203.kaiju.out	0.028734	5732	2304686	Hungateiclostridiaceae
ERR3450203.kaiju.out	0.027385	5463	31953	Bifidobacteriaceae
ERR3450203.kaiju.out	0.026914	5369	171551	Porphyromonadaceae
ERR3450203.kaiju.out	0.024042	4796	186807	Peptococcaceae
ERR3450203.kaiju.out	0.023440	4676	137	Spirochaetaceae
ERR3450203.kaiju.out	0.021310	4251	33958	Lactobacillaceae
ERR3450203.kaiju.out	0.020623	4114	49546	Flavobacteriaceae
ERR3450203.kaiju.out	0.019355	3861	1570339	Peptoniphilaceae
ERR3450203.kaiju.out	0.018472	3685	75682	Oxalobacteraceae
ERR3450203.kaiju.out	0.017996	3590	2005520	Dysgonomonadaceae
ERR3450203.kaiju.out	0.017976	3586	31984	Heliobacteriaceae
ERR3450203.kaiju.out	0.016603	3312	203492	Fusobacteriaceae
ERR3450203.kaiju.out	0.016357	3263	81852	Enterococcaceae
ERR3450203.kaiju.out	0.013630	2719	203557	Verrucomicrobiaceae
ERR3450203.kaiju.out	0.011359	2266	41295	Rhodospirillaceae
ERR3450203.kaiju.out	0.010798	2154	468	Moraxellaceae
ERR3450203.kaiju.out	0.009740	1943	84566	Sphingobacteriaceae
ERR3450203.kaiju.out	0.009399	1875	433	Acetobacteraceae
