sampleID	name	taxid	counts	relabundance
ERR3450203	Akkermansiaceae	1647988	2441865	0.31041
ERR3450203	Isosphaeraceae	1763524	19	0.00000
ERR3450203	Bacteroidaceae	815	990204	0.12588
ERR3450203	Rikenellaceae	171550	263259	0.03347
ERR3450203	Tannerellaceae	2005525	173711	0.02208
ERR3450203	Odoribacteraceae	1853231	32781	0.00417
ERR3450203	Prevotellaceae	171552	21813	0.00277
ERR3450203	Barnesiellaceae	2005519	19143	0.00243
ERR3450203	Dysgonomonadaceae	2005520	212	0.00003
ERR3450203	Muribaculaceae	2005473	48	0.00001
ERR3450203	Porphyromonadaceae	171551	11	0.00000
ERR3450203	Flavobacteriaceae	49546	31	0.00000
ERR3450203	Weeksellaceae	2762318	24	0.00000
ERR3450203	Hymenobacteraceae	1853232	12	0.00000
ERR3450203	Sphingobacteriaceae	84566	12	0.00000
ERR3450203	Chitinophagaceae	563835	12	0.00000
ERR3450203	Sutterellaceae	995019	56499	0.00718
ERR3450203	Oxalobacteraceae	75682	4043	0.00051
ERR3450203	Burkholderiaceae	119060	235	0.00003
ERR3450203	Comamonadaceae	80864	25	0.00000
ERR3450203	Alcaligenaceae	506	16	0.00000
ERR3450203	Enterobacteriaceae	543	7715	0.00098
ERR3450203	Yersiniaceae	1903411	16	0.00000
ERR3450203	Pasteurellaceae	712	663	0.00008
ERR3450203	Pseudomonadaceae	135621	430	0.00005
ERR3450203	Halomonadaceae	28256	11	0.00000
ERR3450203	Moraxellaceae	468	15	0.00000
ERR3450203	Vibrionaceae	641	10	0.00000
ERR3450203	Acetobacteraceae	433	117	0.00001
ERR3450203	Nitrobacteraceae	41294	23	0.00000
ERR3450203	Rhizobiaceae	82115	20	0.00000
ERR3450203	Paracoccaceae	31989	20	0.00000
ERR3450203	Desulfovibrionaceae	194924	2548	0.00032
ERR3450203	Treponemataceae	2845253	40	0.00001
ERR3450203	Campylobacteraceae	72294	30	0.00000
ERR3450203	Lachnospiraceae	186803	2524986	0.32098
ERR3450203	Oscillospiraceae	216572	955709	0.12149
ERR3450203	Eubacteriaceae	186806	53166	0.00676
ERR3450203	Clostridiaceae	31979	10401	0.00132
ERR3450203	Butyricicoccaceae	3085642	2497	0.00032
ERR3450203	Acutalibacteraceae	3082771	35	0.00000
ERR3450203	Aristaeellaceae	3046368	19	0.00000
ERR3450203	Peptostreptococcaceae	186804	14986	0.00191
ERR3450203	Anaerovoracaceae	543314	291	0.00004
ERR3450203	Christensenellaceae	990719	1137	0.00014
ERR3450203	Monoglobaceae	3085657	18	0.00000
ERR3450203	Acidaminococcaceae	909930	55160	0.00701
ERR3450203	Veillonellaceae	31977	927	0.00012
ERR3450203	Selenomonadaceae	1843491	26	0.00000
ERR3450203	Streptococcaceae	1300	45953	0.00584
ERR3450203	Lactobacillaceae	33958	959	0.00012
ERR3450203	Enterococcaceae	81852	1524	0.00019
ERR3450203	Carnobacteriaceae	186828	152	0.00002
ERR3450203	Gemellaceae	539738	242	0.00003
ERR3450203	Bacillaceae	186817	161	0.00002
ERR3450203	Paenibacillaceae	186822	122	0.00002
ERR3450203	Caryophanaceae	186818	24	0.00000
ERR3450203	Staphylococcaceae	90964	27	0.00000
ERR3450203	Coprobacillaceae	2810280	46244	0.00588
ERR3450203	Erysipelotrichaceae	128827	5465	0.00069
ERR3450203	Turicibacteraceae	2810281	160	0.00002
ERR3450203	Peptoniphilaceae	1570339	103	0.00001
ERR3450203	Coriobacteriaceae	84107	75044	0.00954
ERR3450203	Atopobiaceae	1643824	200	0.00003
ERR3450203	Eggerthellaceae	1643826	40107	0.00510
ERR3450203	Micrococcaceae	1268	3610	0.00046
ERR3450203	Microbacteriaceae	85023	37	0.00000
ERR3450203	Bifidobacteriaceae	31953	2171	0.00028
ERR3450203	Actinomycetaceae	2049	1946	0.00025
ERR3450203	Propionibacteriaceae	31957	209	0.00003
ERR3450203	Corynebacteriaceae	1653	162	0.00002
ERR3450203	Mycobacteriaceae	1762	19	0.00000
ERR3450203	Nocardiaceae	85025	17	0.00000
ERR3450203	Streptomycetaceae	2062	65	0.00001
ERR3450203	Pseudonocardiaceae	2070	21	0.00000
ERR3450203	Micromonosporaceae	28056	19	0.00000
ERR3450203	Candidatus Nanosynbacteraceae	2093822	311	0.00004
ERR3450203	Fusobacteriaceae	203492	317	0.00004
ERR3450203	Methanobacteriaceae	2159	829	0.00011
ERR3450203	Hominidae	9604	4696	0.00060
ERR3450203	Suoliviridae	2942966	534	0.00007
ERR3450203	Crevaviridae	2942963	65	0.00001
ERR3450203	Intestiviridae	2942964	14	0.00000
ERR3450229	Oscillospiraceae	216572	4121297	0.40767
ERR3450229	Eubacteriaceae	186806	11562	0.00114
ERR3450229	Clostridiaceae	31979	11620	0.00115
ERR3450229	Butyricicoccaceae	3085642	1190	0.00012
ERR3450229	Aristaeellaceae	3046368	280	0.00003
ERR3450229	Acutalibacteraceae	3082771	85	0.00001
ERR3450229	Desulfitobacteriaceae	2937909	25	0.00000
ERR3450229	Lachnospiraceae	186803	4139334	0.40946
ERR3450229	Vallitaleaceae	2603322	12	0.00000
ERR3450229	Peptostreptococcaceae	186804	24876	0.00246
ERR3450229	Anaerovoracaceae	543314	184	0.00002
ERR3450229	Christensenellaceae	990719	8429	0.00083
ERR3450229	Monoglobaceae	3085657	50	0.00000
ERR3450229	Thermoanaerobacteraceae	186814	10	0.00000
ERR3450229	Streptococcaceae	1300	61890	0.00612
ERR3450229	Lactobacillaceae	33958	9376	0.00093
ERR3450229	Enterococcaceae	81852	2293	0.00023
ERR3450229	Carnobacteriaceae	186828	196	0.00002
ERR3450229	Staphylococcaceae	90964	1570	0.00016
ERR3450229	Gemellaceae	539738	291	0.00003
ERR3450229	Bacillaceae	186817	287	0.00003
ERR3450229	Paenibacillaceae	186822	225	0.00002
ERR3450229	Caryophanaceae	186818	40	0.00000
ERR3450229	Coprobacillaceae	2810280	43004	0.00425
ERR3450229	Turicibacteraceae	2810281	4868	0.00048
ERR3450229	Erysipelotrichaceae	128827	2359	0.00023
ERR3450229	Veillonellaceae	31977	5338	0.00053
ERR3450229	Acidaminococcaceae	909930	205	0.00002
ERR3450229	Selenomonadaceae	1843491	65	0.00001
ERR3450229	Sporomusaceae	1843490	28	0.00000
ERR3450229	Peptoniphilaceae	1570339	206	0.00002
ERR3450229	Bifidobacteriaceae	31953	212421	0.02101
ERR3450229	Micrococcaceae	1268	2688	0.00027
ERR3450229	Microbacteriaceae	85023	111	0.00001
ERR3450229	Promicromonosporaceae	85017	35	0.00000
ERR3450229	Brevibacteriaceae	85019	13	0.00000
ERR3450229	Actinomycetaceae	2049	1413	0.00014
ERR3450229	Corynebacteriaceae	1653	340	0.00003
ERR3450229	Mycobacteriaceae	1762	74	0.00001
ERR3450229	Nocardiaceae	85025	41	0.00000
ERR3450229	Propionibacteriaceae	31957	311	0.00003
ERR3450229	Nocardioidaceae	85015	14	0.00000
ERR3450229	Kribbellaceae	2726069	13	0.00000
ERR3450229	Streptomycetaceae	2062	325	0.00003
ERR3450229	Streptosporangiaceae	2004	31	0.00000
ERR3450229	Thermomonosporaceae	2012	26	0.00000
ERR3450229	Nocardiopsidaceae	83676	14	0.00000
ERR3450229	Pseudonocardiaceae	2070	62	0.00001
ERR3450229	Micromonosporaceae	28056	53	0.00001
ERR3450229	Coriobacteriaceae	84107	99624	0.00985
ERR3450229	Atopobiaceae	1643824	4762	0.00047
ERR3450229	Kribbibacteriaceae	3153719	10	0.00000
ERR3450229	Eggerthellaceae	1643826	20343	0.00201
ERR3450229	Spiroplasmataceae	2131	15	0.00000
ERR3450229	Acholeplasmataceae	2146	15	0.00000
ERR3450229	Mycoplasmataceae	2092	12	0.00000
ERR3450229	Synechococcaceae	1890426	17	0.00000
