sampleID	name	counts	relabundance
ERR3450203	Lachnospiraceae	28.791891	0.287919
ERR3450203	Akkermansiaceae	16.632453	0.166325
ERR3450203	Oscillospiraceae	13.342292	0.133423
ERR3450203	FGB14936	5.891939	0.0589194
ERR3450203	Bacteroidaceae	4.141686	0.0414169
ERR3450203	Rikenellaceae	2.057298	0.020573
ERR3450203	Clostridiaceae	1.971574	0.0197157
ERR3450203	Erysipelotrichaceae	1.38185	0.0138185
ERR3450203	Eubacteriales_incertae_sedis	1.123262	0.0112326
ERR3450203	Prevotellaceae	1.122978	0.0112298
ERR3450203	Acidaminococcaceae	0.999887	0.00999887
ERR3450203	Eubacteriaceae	0.955967	0.00955967
ERR3450203	Tannerellaceae	0.69866	0.0069866
ERR3450203	FGB1765	0.615801	0.00615801
ERR3450203	Coriobacteriaceae	0.575625	0.00575625
ERR3450203	Sutterellaceae	0.545766	0.00545766
ERR3450203	FGB79315	0.525806	0.00525806
ERR3450203	Butyricicoccaceae	0.50923	0.0050923
ERR3450203	Eggerthellaceae	0.371417	0.00371417
ERR3450203	Anaerotignaceae	0.321921	0.00321921
ERR3450203	Coprobacillaceae	0.315318	0.00315318
ERR3450203	FGB1380	0.281894	0.00281894
ERR3450203	Bacillota_unclassified	0.280484	0.00280484
ERR3450203	Streptococcaceae	0.278854	0.00278854
ERR3450203	FGB629	0.256727	0.00256727
ERR3450203	Beduinellaceae	0.245359	0.00245359
ERR3450203	Odoribacteraceae	0.155248	0.00155248
ERR3450203	Barnesiellaceae	0.151562	0.00151562
ERR3450203	Eubacteriales_unclassified	0.140183	0.00140183
ERR3450203	Eubacteriales_Family_XIII_Incertae_Sedis	0.104445	0.00104445
ERR3450203	FGB77988	0.08483	0.0008483
ERR3450203	FGB3054	0.081445	0.00081445
ERR3450203	FGB2992	0.078099	0.00078099
ERR3450203	FGB529	0.064471	0.00064471
ERR3450203	FGB84486	0.061129	0.00061129
ERR3450203	FGB9660	0.058622	0.00058622
ERR3450203	FGB3057	0.052547	0.00052547
ERR3450203	FGB10312	0.046658	0.00046658
